Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
0610010C04RIK	CPSF4L	gene	HOM:51887017	MGI
0610010C24RIK	SMPDL3A	gene	HOM:51879580	MGI
0610010D20RIK	HOGA1	gene	HOM:51884514	MGI
0610010D24RIK	CCDC88C	gene	HOM:51882713	MGI
0610010E03RIK	SDHC	gene	HOM:51873796	MGI
0610010E05RIK	CNDP2	gene	HOM:51882456	MGI
0610010E21RIK	SDHAF1	gene	HOM:51877291	MGI
0610010F05RIK	SANBR	gene	HOM:51875960	MGI
0610010F23RIK	SURF1	gene	HOM:51876709	MGI
0610010G04RIK	ACBD6	gene	HOM:51874902	MGI
0610010G05RIK	RNF167	gene	HOM:51885888	MGI
0610010H08RIK	ARPC1A	gene	HOM:51882676	MGI
0610010I05RIK	MT-ND5	gene	HOM:51877903	MGI
0610010I06RIK	PLLP	gene	HOM:51878443	MGI
0610010I12RIK	KRTCAP2	gene	HOM:51883499	MGI
0610010I13RIK	CTH	gene	HOM:51884806	MGI
0610010I15RIK	PAQR5	gene	HOM:51878322	MGI
0610010I17RIK	HINT3	gene	HOM:51877332	MGI
0610010I20RIK	ETFDH	gene	HOM:51873686	MGI
0610010I23RIK	CRIP2	gene	HOM:51880482	MGI
0610010J20RIK	NCAPH2	gene	HOM:51880585	MGI
0610010K06RIK	BROX	gene	HOM:51879342	MGI
0610010K14RIK	BACC1	gene	HOM:51874234	MGI
0610010M09RIK	NDUFS3	gene	HOM:51883236	MGI
0610010M22RIK	NDFIP1	gene	HOM:51882332	MGI
0610010O12RIK	CYSTM1	gene	HOM:51885496	MGI
0610011A13RIK	EGLN2	gene	HOM:51876235	MGI
0610011B04RIK	NDUFB10	gene	HOM:51884447	MGI
0610011B16RIK	CORO7	gene	HOM:51883209	MGI
0610011C06RIK	SCOC	gene	HOM:51874567	MGI
0610011C19RIK	ROGDI	gene	HOM:51875417	MGI
0610011D08RIK	CMPK1	gene	HOM:51874246	MGI
0610011D15RIK	ZBTB48	gene	HOM:51874974	MGI
0610011E17RIK	PNRC2	gene	HOM:51874423	MGI
0610011F06RIK	METTL26	gene	HOM:51874901	MGI
0610011F20RIK	CPN1	gene	HOM:51871432	MGI
0610011H04RIK	SMIM1	gene	HOM:51880731	MGI
0610011H20RIK	DOLPP1	gene	HOM:51882826	MGI
0610011H21RIK	EIF3L	gene	HOM:51882235	MGI
0610011I04RIK	TMEM176A	gene	HOM:51880419	MGI
0610011J09RIK	UBE2V1	gene	HOM:51873333	MGI
0610011K02RIK	FASTK	gene	HOM:51881224	MGI
0610011K11RIK	EFEMP2	gene	HOM:51873430	MGI
0610011L04RIK	ACAA2	gene	HOM:51874282	MGI
0610011L07RIK	NHERF2	gene	HOM:51888887	MGI
0610011L13RIK	RHBDD2	gene	HOM:51880789	MGI
0610011L14RIK	AAR2	gene	HOM:51877229	MGI
0610011M09RIK	TCEAL1	gene	HOM:51890335	MGI
0610011N22RIK	CCDC127	gene	HOM:51872054	MGI
0610011P08RIK	ATAT1	gene	HOM:51877735	MGI
0610012A05RIK	ANKRD33B	gene	HOM:51870744	MGI
0610012A11RIK	SERPINA1F	gene	HOM:51885919	MGI
0610012A19RIK	FARSA	gene	HOM:51874008	MGI
0610012C01RIK	GOLT1A	gene	HOM:51880720	MGI
0610012C09RIK	ORMDL2	gene	HOM:51883417	MGI
0610012C17RIK	FXYD1	gene	HOM:51875836	MGI
0610012D04RIK	0610012D04RIK	gene	MGI:1918926	MGI
0610012D09RIK	METTL9	gene	HOM:51876437	MGI
0610012D14RIK	ASPDH	gene	HOM:51882966	MGI
0610012D17RIK	DYNLT2B	gene	HOM:51879943	MGI
0610012E21RIK	0610012E21RIK	gene	MGI:1925548	MGI
0610012F07RIK	ZFP524	gene	HOM:51891012	MGI
0610012F20RIK	GABARAPL2	gene	HOM:51884798	MGI
0610012F22RIK	TTC8	gene	HOM:51871038	MGI
0610012G03RIK	NCBP2AS2	gene	HOM:51879434	MGI
0610012G23RIK	PPDPF	gene	HOM:51871239	MGI
0610012H03RIK	THEM7	gene	HOM:51890413	MGI
0610012J02RIK	SLC38A3	gene	HOM:51883827	MGI
0610012J07RIK	HAAO	gene	HOM:51882945	MGI
0610012J09RIK	SIRT5	gene	HOM:51884788	MGI
0610012K07RIK	SYNE4	gene	HOM:51883449	MGI
0610012K18RIK	WDR27	gene	HOM:51880839	MGI
0610012K22RIK	EMCN	gene	HOM:51887307	MGI
0610012P18RIK	COQ8B	gene	HOM:51870563	MGI
0610013D04RIK	KANK3	gene	HOM:51877952	MGI
0610013E23RIK	RNFT1	gene	HOM:51882493	MGI
0610013I17RIK	CERS2	gene	HOM:51873632	MGI
0610015A08RIK	GRHL2	gene	HOM:51876112	MGI
0610016I07RIK	POMGNT1	gene	HOM:51877191	MGI
0610016J10RIK	MEMO1	gene	HOM:51875164	MGI
0610016L08RIK	CYB5R3	gene	HOM:51874746	MGI
0610016O18RIK	NUDT12	gene	HOM:51883166	MGI
0610020I02RIK	NACC2	gene	HOM:51888849	MGI
0610025G13RIK	RPL38	gene	HOM:51880569	MGI
0610025G21RIK	ARHGAP24	gene	HOM:51880053	MGI
0610025H04RIK	NET1	gene	HOM:51882091	MGI
0610025I19RIK	GSTK1	gene	HOM:51879569	MGI
0610025J13RIK	0610025J13RIK	gene	MGI:1915618	MGI
0610025K21RIK	AKR7A5	gene	HOM:51874229	MGI
0610025L01RIK	PIN1	gene	HOM:51884455	MGI
0610025L06RIK	LIMD2	gene	HOM:51886048	MGI
0610025L15RIK	ETHE1	gene	HOM:51884606	MGI
0610025L18RIK	EMC6	gene	HOM:51881658	MGI
0610025M10RIK	PFDN4	gene	HOM:51880685	MGI
0610025N14RIK	PPP1R2	gene	HOM:51878859	MGI
0610025O11RIK	FUCA2	gene	HOM:51874662	MGI
0610025P10RIK	NEURL4	gene	HOM:51878857	MGI
0610027A18RIK	MTPAP	gene	HOM:51881722	MGI
0610027B03RIK	METTL15	gene	HOM:51885001	MGI
0610027D24RIK	BICD2	gene	HOM:51871084	MGI
0610027F08RIK	TSEN34	gene	HOM:51879657	MGI
0610027O18RIK	TMEM42	gene	HOM:51877237	MGI
0610030A03RIK	SNX2	gene	HOM:51883350	MGI
0610030A14RIK	MOGAT1	gene	HOM:51877786	MGI
0610030B01RIK	KXD1	gene	HOM:51884683	MGI
0610030D10RIK	DDX39B	gene	HOM:51871022	MGI
0610030E20RIK	0610030E20RIK	gene	HOM:51885404	MGI
0610030G03RIK	TLCD1	gene	HOM:51882858	MGI
0610030G24RIK	RAB14	gene	HOM:51871868	MGI
0610030H11RIK	ZFP414	gene	HOM:51880986	MGI
0610030I09RIK	DEFB29	gene	HOM:51887191	MGI
0610030I10RIK	CYP4F13	gene	HOM:51872696	MGI
0610030I18RIK	FXYD6	gene	HOM:51880904	MGI
0610030O19RIK	ZFP235	gene	HOM:51890947	MGI
0610031A09RIK	SNUPN	gene	HOM:51878711	MGI
0610031C06RIK	0610031C06RIK	gene	MGI:1925549	MGI
0610031F24RIK	STX5A	gene	HOM:51882281	MGI
0610031G08RIK	GGNBP1	gene	HOM:51887542	MGI
0610031I08RIK	0610031I08RIK	gene	MGI:1921093	MGI
0610031J06RIK	GLMP	gene	HOM:51884793	MGI
0610031L02RIK	TMEM179B	gene	HOM:51876755	MGI
0610031O16RIK	0610031O16RIK	gene	MGI:1915619	MGI
0610031P22RIK	SRD5A1	gene	HOM:51883583	MGI
0610033B02RIK	NPL	gene	HOM:51882193	MGI
0610033B08RIK	TRPV4	gene	HOM:51882687	MGI
0610033E06RIK	UGT2B37	gene	HOM:51880603	MGI
0610033G21RIK	TPRKB	gene	HOM:51882890	MGI
0610033H09RIK	AURKAIP1	gene	HOM:51883867	MGI
0610033I05RIK	RBM43	gene	HOM:51880425	MGI
0610033I19RIK	0610033I19RIK	gene	MGI:1925551	MGI
0610033J05RIK	CLYBL	gene	HOM:51871763	MGI
0610033L03RIK	NDUFA8	gene	HOM:51884444	MGI
0610033L19RIK	FBXO22	gene	HOM:51879031	MGI
0610033M06RIK	GALNT14	gene	HOM:51879317	MGI
0610033M10RIK	0610033M10RIK	gene	MGI:1921343	MGI
0610033N12RIK	MLST8	gene	HOM:51875280	MGI
0610033N24RIK	STUB1	gene	HOM:51872269	MGI
0610033O15RIK	MRPL32	gene	HOM:51883510	MGI
0610033P13RIK	0610033P13RIK	gene	MGI:1925613	MGI
0610034O11RIK	MRPL12	gene	HOM:51876682	MGI
