Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
2310047H23RIK	TXNDC15	gene	HOM:51883835	HGNC
239AB	MPPED1	gene	HOM:51885970	HGNC
239FB	MPPED2	gene	HOM:51871160	HGNC
24B2	STAC2	gene	HOM:51890255	HGNC
24P3	LCN2	gene	HOM:51877331	HGNC
2610509L04RIK	EIF4ENIF1	gene	HOM:51875006	HGNC
26RFA	QRFP	gene	HOM:51889718	HGNC
2700066J21RIK	UTP14C	gene	HOM:51890773	HGNC
277P12.9	LINC02598	gene	HGNC:53954	HGNC
28H	HMGN2P11	gene	HGNC:4990	HGNC
2A9	S100A6	gene	HOM:51873797	HGNC
2B28	UBXN1	gene	HOM:51874231	HGNC
2B4	CD244	gene	HOM:51886811	HGNC
2C18	AP1AR	gene	HOM:51884926	HGNC
2C4D	MOB4	gene	HOM:51877848	HGNC
2E4	KPTN	gene	HOM:51882320	HGNC
2F1	KLRG1	gene	HOM:51888008	HGNC
2F1	SLC25A5	gene	HOM:51872341	HGNC
2G7	LINC01150	gene	HGNC:49469	HGNC
2H9	HNRNPH3	gene	HOM:51883425	HGNC
2HOR0202	SAP18	gene	HOM:51884439	HGNC
2OST	UST	gene	HOM:51880514	HGNC
2P1	NDUFAF3	gene	HOM:51874559	HGNC
2PP2A	SET	gene	HOM:51876631	HGNC
3'AHIF-1A	HIF1A-AS2	gene	HGNC:43015	HGNC
3'HEXO	ERI1	gene	HOM:51877798	HGNC
3'OY11.1	ZNF280A	gene	HGNC:18597	HGNC
3-10C	CXCL8	gene	HGNC:6025	HGNC
3-ALPHA-HSD	AKR1C4	gene	HOM:51886377	HGNC
3-HAO	HAAO	gene	HOM:51882945	HGNC
3-OST-5	HS3ST5	gene	HOM:51887720	HGNC
3-PAP	MTMR12	gene	HOM:51877333	HGNC
3.8-1.2	HCG26P1	gene	HGNC:23995	HGNC
3.8-1.3	HCG26P2	gene	HGNC:23996	HGNC
3.8-1.4	HCG26P3	gene	HGNC:23997	HGNC
3.8-1.5	HCG26P4	gene	HGNC:23998	HGNC
30K	CAPNS1	gene	HOM:51871359	HGNC
30ST3A1	HS3ST3A1	gene	HOM:51870380	HGNC
30ST3B1	HS3ST3B1	gene	HOM:51870379	HGNC
323/A3	EPCAM	gene	HOM:51878307	HGNC
354J5	ZPR1P1	gene	HGNC:13052	HGNC
3635	PDE12	gene	HOM:51874871	HGNC
37LRP	RPSA	gene	HOM:51877525	HGNC
384D8-2	NCAPH2	gene	HOM:51880585	HGNC
39K2	STAU2	gene	HOM:51884021	HGNC
3ALPHA-HSD	DHRS9	gene	HOM:51878655	HGNC
3D3	MTDH	gene	HOM:51877648	HGNC
3G2	RBM6	gene	HOM:51877129	HGNC
3H11AG	CEP290	gene	HOM:51877064	HGNC
3M3	CCDC8	gene	HOM:51886780	HGNC
3OST1	HS3ST1	gene	HOM:51870377	HGNC
3OST2	HS3ST2	gene	HOM:51870378	HGNC
3OST3A1	HS3ST3A1	gene	HOM:51870380	HGNC
3OST3B1	HS3ST3B1	gene	HOM:51870379	HGNC
3OST4	HS3ST4	gene	HOM:51870381	HGNC
3PAP	MTMR12	gene	HOM:51877333	HGNC
3PK	MAPKAPK3	gene	HOM:51883662	HGNC
4-1BB	TNFRSF9	gene	HOM:51870383	HGNC
4-1BB-L	TNFSF9	gene	HOM:51890523	HGNC
4-1BBL	TNFSF9	gene	HOM:51890523	HGNC
4-1BBLRR	LRR1	gene	HOM:51884535	HGNC
4-HPPD	HPD	gene	HOM:51874276	HGNC
4-HPPD-L	HPDL	gene	HOM:51875460	HGNC
4.1-G	EPB41L2	gene	HOM:51887319	HGNC
4.1B	EPB41L3	gene	HOM:51871739	HGNC
4.1G	EPB41L2	gene	HOM:51887319	HGNC
4.1N	EPB41L1	gene	HOM:51877257	HGNC
4.1R	EPB41	gene	HOM:51872245	HGNC
42A	S100A4	gene	HOM:51873798	HGNC
42C	S100A10	gene	HOM:51876291	HGNC
47.11	KIR2DL1	gene	HOM:51887956	HGNC
4832404P21RIK	ZSWIM8	gene	HOM:51882388	HGNC
4833431A01RIK	THAP1	gene	HOM:51883381	HGNC
4930513O09RIK	ZCCHC13	gene	HOM:51872211	HGNC
4933409D10RIK	ZNF474	gene	HOM:51891000	HGNC
4E-BP1	EIF4EBP1	gene	HOM:51874553	HGNC
4E-BP3	EIF4EBP3	gene	HOM:51871881	HGNC
4E-T	EIF4ENIF1	gene	HOM:51875006	HGNC
4EHP	EIF4E2	gene	HOM:51873459	HGNC
4F-SE4[6:7:8]	CYP4F29P	gene	HGNC:2647	HGNC
4F-SE9[6:7:8]	CYP4F30P	gene	HGNC:25270	HGNC
4F2	SLC3A2	gene	HOM:51874886	HGNC
4F2HC	SLC3A2	gene	HOM:51874886	HGNC
4F5	SERF1A	gene	HOM:51878973	HGNC
4F5REL	SERF2	gene	HOM:51878974	HGNC
4HPPD	HPD	gene	HOM:51874276	HGNC
4P11	CRYZL1	gene	HOM:51884764	HGNC
4T2HC	SLC3A2	gene	HOM:51874886	HGNC
5'AHIF-1A	HIF1A-AS1	gene	HGNC:43014	HGNC
5'OY11.1	ZNF280B	gene	HOM:51874532	HGNC
5-HT(2B)	HTR2B	gene	HOM:51883967	HGNC
5-HT1A	HTR1A	gene	HOM:51876365	HGNC
5-HT1B	HTR1B	gene	HOM:51884001	HGNC
5-HT1D	HTR1D	gene	HOM:51876366	HGNC
5-HT1DB	HTR1B	gene	HOM:51884001	HGNC
5-HT1E	HTR1E	gene	HGNC:5291	HGNC
5-HT1F	HTR1F	gene	HOM:51876364	HGNC
5-HT2A	HTR2A	gene	HOM:51876367	HGNC
5-HT2B	HTR2B	gene	HOM:51883967	HGNC
5-HT2C	HTR2C	gene	HOM:51879104	HGNC
5-HT3A	HTR3A	gene	HOM:51881165	HGNC
5-HT3B	HTR3B	gene	HOM:51881166	HGNC
5-HT3C2	HTR3C2P	gene	HGNC:53986	HGNC
5-HT3R	HTR3A	gene	HOM:51881165	HGNC
5-HT4	HTR4	gene	HOM:51879761	HGNC
5-HT5A	HTR5A	gene	HOM:51876368	HGNC
5-HT5B	HTR5BP	gene	HGNC:16291	HGNC
5-HT6	HTR6	gene	HOM:51875447	HGNC
5-HT6R	HTR6	gene	HOM:51875447	HGNC
5-HT7	HTR7	gene	HOM:51876369	HGNC
5-HTT	SLC6A4	gene	HOM:51878976	HGNC
5-LOX	ALOX5	gene	HOM:51870691	HGNC
5-OPASE	OPLAH	gene	HOM:51881140	HGNC
51A	SORL1-AS1	gene	HGNC:55594	HGNC
52	SCARNA10	gene	HGNC:32567	HGNC
53BP1	TP53BP1	gene	HOM:51882391	HGNC
53BP2	TP53BP2	gene	HOM:51870894	HGNC
54TM	YIF1A	gene	HOM:51873705	HGNC
59-DAP	SNTB1	gene	HOM:51884815	HGNC
59K	PDCD7	gene	HOM:51883139	HGNC
